TA,專案,成效,興趣,類型
27-55 / 頭份竹南竹北 / 金錢 美食,富廣ONNI,可,"27-55 / 頭份竹南竹北 / 金錢 美食
-凱撒衛浴造橋發貨中心（+5 公里） ; 竹北台元科技園區（+5 公里）, 竹南科技園區（+5 公里）, 竹南獅山親子公園（+5 公里）, 新竹巨城百貨公司廣場（+5 公里）, 新竹市香山區親子館（+5 公里）
-金錢（貨幣） 、收入（商業與財務） 、股票（投資） 、證券交易所（投資） 、股票經紀人 (投資) 、納斯達克100指數、被動收入（商業與財務） 、美食（美食和餐飲） 、餐廳（餐飲） 、酒精飲品（美食和餐飲） 、美食與美酒（媒體刊物） 、品酒 (葡萄酒) 、燒烤（烹飪） 、肉類食物（美食和餐飲） 或美容（社會觀念）",1510
28-55 / 頭份竹南 / 才藝 寵物 運動,富廣ONNI,差,"28-55 / 頭份竹南 / 才藝 寵物 運動
-尚順廣埸（+5 公里）, 國家衛生研究院（+5 公里）, 天泉戰術訓練中心（+5 公里） ; 竹南獅山親子公園（+5 公里）, 廣源科技園區（+5 公里）
-寵物（動物） 、貓（動物） 、狗（動物） 、狗狗美容（寵物） 、犬隻訓練（寵物） 、貓咪玩具和遊戲 (貓) 、寵物領養 (寵物) 、樂器（樂器） 、鍵盤樂器、弦樂器、古典樂（音樂） 、繪畫（視覺藝術） 、美術（視覺藝術） 、當代古典音樂、舞蹈（藝術） 、表演藝術（表演藝術） 、桌球、羽球 (球拍類運動) 、田徑或 591房屋交易網",1510
28-55 / 西區西屯北區 / 娛樂 賺錢 寵物,龍板靜玥,差,"28-55 / 西區西屯北區 / 娛樂 賺錢 寵物
-中友百貨（+3 公里）, 台中好巿多（+3 公里）, 新光三越 台中中港店（+3 公里）, 勤美 誠品綠園道（+3 公里）, 大富街， 台中市（+3 公里） Taichung
-上班族（流行文化） 、時尚配件（飾品配件） 、百貨公司（零售） 、美容沙龍（化妝品） 、收入（商業與財務） 、被動收入（商業與財務） 、股票（投資） 、儲蓄帳戶（銀行業） 、共同基金 (投資) 、指數股票型基金 (投資) 、韓國流行音樂（音樂） 、 Hot R&B/Hip-Hop Songs 、韓國電視劇（電視節目） 、健身俱樂部（健身） 、寵物店（寵物用品） 、寵物食品（寵物用品） 、首次購屋補助（房地產） 或房屋（房地產）",名單
"28-55 / 南屯南區大里 / 新婚 年輕成家
",龍板靜玥,差,"28-55 / 南屯南區大里 / 新婚 年輕成家
-大里軟體文化園區（+3 公里）, 台中工業區（+3 公里）, 美術綠圓道（+3 公里）, 文心森林公園（+3 公里）, 大慶夜市（+3 公里）
-廚房（家居和園藝用品） 、室內設計（設計） 、爆紅影片 (網路影片) 、超市（食品零售業者） 、網路迷因（流行文化） 、保險（商業與財務） 、親子教育（兒童和親子教育） 、居家裝修（家居和園藝用品） 、熱門話題、網路購物（零售） 、時尚（流行文化） 、宜家家居（零售業者） 、婚姻（婚禮） 、休閒活動（休閒） 、烹飪（美食和餐飲） 、 Instagram（社群媒體） 、求婚（婚禮） 、 YouTube（串流服務） 或運動場所 (體育運動)",名單
28-55 / 西區西屯南區 / 行銷 小資族,龍板靜玥,可,"28-55 / 西區西屯南區 / 行銷 小資族
-文心秀泰影城（+3 公里）, 西屯工業區（+3 公里）, 五權車站（+3 公里）, 台中提拉米蘇精緻蛋糕（+3 公里）, 家樂福文心店 Carrefour（+3 公里）
-室內設計（設計） 、網路名人、數位行銷（行銷） 、傢俱（居家裝潢） 、流行文化（社會觀念） 、折扣商店（零售） 、綜藝節目 (表演藝術) 、行銷（商業與財務） 、特賣促銷（行銷） 、網路購物（零售） 、社群媒體行銷（行銷） 、韓國電視劇（電視節目） 、廣告（行銷） 、設計（設計） 、政府（政府機構） 、網路 (電腦運算) 或居家裝潢零售商 (零售)",名單
30-60 / 沙鹿梧棲清水 / 保險 銀行業,華偉知見,差,"30-60 / 沙鹿梧棲清水 / 保險 銀行業
-新光銀行 沙鹿分行（+3 公里）, 台灣銀行梧棲分行（+3 公里）, 台中港森林公園（+3 公里）, 清水星巴克（+3 公里）
-業務（商業與財務） 、金錢（貨幣） 、保單（保險） 、會計學（商業與財務） 、個人理財（銀行業） 、財產保險、財務規劃（投資） 、財務顧問 (投資) 、保險（商業與財務） 、退休規劃（銀行業） 、 591房屋交易網、風險投資 (商業金融) 、銀行業（金融） 、納斯達克100指數、資金、財務會計（商業與財務） 、財富管理（銀行業） 或咖啡（美食和餐飲）",訊息
28-60 / 埔里草屯魚池 / 產業類型,寬心璽玥,差,"28-60 / 埔里草屯魚池 / 產業類型
-埔里城觀光夜市（+5 公里）, 南崗工業區（+5 公里）, 魚池鄉衛生所（+5 公里）, 草屯敦和宮財神廟（+5 公里） ; 南投縣魚池鄉公所（+5 公里）, 機器人創藝園區（+3 公里）, 南投縣政府（+5 公里）, 埔里國中（+5 公里）
-業務（商業與財務） 、食品產業、銀行業（金融） 、製造業（產業） 、政府（政府機構） 或餐飲業（餐飲）、任職公司：自営業(個人事業主)、行業類別：行政服務、資訊科技和技術服務、業務、教育和圖書館、商業與金融、食品與餐飲、製造、健康照護與醫療服務、安裝與維修服務、社區和社會服務、保護服務、農、林、漁業、軍事（全球） 、運輸與搬運或政府員工（全球）",訊息
28-60 / 埔里草屯魚池 / 首購成家,寬心璽玥,差,"28-60 / 埔里草屯魚池 / 首購成家
-埔里城觀光夜市（+5 公里）, 南崗工業區（+5 公里）, 魚池鄉衛生所（+5 公里）, 草屯敦和宮財神廟（+5 公里） ; 機器人創藝園區（+3 公里）, 南投縣魚池鄉公所（+5 公里）, 南投縣政府（+5 公里）, 埔里國中（+5 公里）
-上班族（流行文化） 、媽媽寶寶-懷孕、生產、育兒、新生兒派對（兒童和親子教育） 、房屋（房地產） 、室內設計（設計） 、首次購房者（房地產） 、首次購屋補助（房地產） 、 591房屋交易網、簡餐館（餐廳） 、急凍食品、傢俱（居家裝潢） 、美食（美食和餐飲） 、貸款計算機（借貸） 、超市（食品零售業者） 、烹飪（美食和餐飲） 、居家裝修（家居和園藝用品） 或輪班工作制（商業與財務）",訊息
27-55 / 大林民雄 / 上班族 儲蓄,中祐雅苑,差,"27-55 / 大林民雄 / 上班族 儲蓄
-民雄車站（+3 公里）, 大林車站（+3 公里）, 民雄日式招待所（+3 公里）, 歐樂沃築夢城堡 Otherworld（+3 公里） ; 大埔美園區（+3 公里）, 大埔美佐登妮絲城堡園區（+3 公里）
-儲蓄（銀行業） 、個人理財（銀行業） 、收入（商業與財務） 、製造生產服務和組織 (製造業) 、教育（社會觀念） 、學習（教育） 、訓練（教育） 、知識、專業發展（職業訓練） 、工作（工作機會） 、培訓和開發 (商業活動) 、上班族（流行文化） 、美食（美食和餐飲） 、金錢（貨幣） 、量販店（食品零售業者） 、保險（商業與財務） 、戶外休閒活動（戶外活動） 或輪班工作制（商業與財務）",訊息
"28-55 / 鹿港和美福興 / 藍領 銀行保險
$203、24訊息",青成康堤,優,"28-55 / 鹿港和美福興 / 藍領 銀行保險
-和美高中（+5 公里）, 7-11福環門市（+5 公里） ; 鹿港老街（+5 公里）
-保險（商業與財務） 、保單（保險） 、人壽保險（保險） 、業務（商業與財務） 、零售銀行業務（銀行業） 、投資銀行業（銀行業） 、銀行業（金融） 、金融服務（商業與財務） 、證券交易所（投資） 、股市指數 (投資) 、技術員、製造業（產業） 、製造生產服務和組織 (製造業) 、工廠（製造業） 、股票經紀人 (投資) 、配電系統、代工生產、上班族（流行文化） 或熱門話題",訊息
28-55 / 彰市和美鹿港 / 醫護 美食,(傑芳) 維瓦第明日City,差,"28-55 / 彰市和美鹿港 / 醫護 美食
-彰化車站（+3 公里）, 鹿港基督教醫院健康促進中心（+5 公里）, 麥當勞和美店（+3 公里） ; 彰化基督教醫院（+3 公里）, 愛書人休閒俱樂部-秀傳醫院（+3 公里）
-室內設計（設計） 、房屋（房地產） 、傢俱（居家裝潢） 、以英語為第二語言或外語、 591房屋交易網、牙科學院 (高等教育) 、醫學院 (高等教育) 、食品媒體和內容 (食物和飲品) 、休閒餐廳 (餐廳) 、簡餐館（餐廳） 、咖啡廳（咖啡） 、小吃、街邊小吃 (外燴和餐飲服務) 、在地美食（美食和餐飲） 、 UberEATS 、線上訂餐（美食和餐飲） 或個人理財（銀行業）、行業類別：健康照護與醫療服務",名單
 30-60 / 彰化和美花壇烏日/ 投資置產 首購 名車,(傑芳) 維瓦第明日City,差," 30-60 / 彰化和美花壇烏日/ 投資置產 首購 名車
-烏日啤酒廠（+3 公里） ; 彰化車站（+3 公里）, 彰化果菜市場（+3 公里）, 高鐵台中站（+3 公里）, 東西向快速公路快官霧峰線（+5 公里） ; 精誠夜市（+3 公里）, 和美星巴克（+3 公里）, 花壇國民小學（+3 公里）
-投資（商業與財務） 、房地產投資（投資） 、財經（商業與財務） 、被動收入（商業與財務） 、股票（投資） 、房屋（房地產） 、 591房屋交易網、不動產（房地產） 、豪華轎車（交通工具） 、賓士（交通工具） 、特斯拉汽車（交通工具） 、 BMW（交通工具） 、保時捷、證券（金融） 、首次購房者（房地產） 、首次購屋補助（房地產） 或房地產（產業）",名單
27-55 / 十期 / 行銷 小資族,大興家園,可,"27-55 / 十期 / 行銷 小資族
-太原車站（+5 公里）, 頭家厝菜市場（+5 公里）
-室內設計（設計） 、行銷企劃 (行銷) 、數位行銷（行銷） 、折扣商店（零售） 、綜藝節目 (表演藝術) 、傢俱（居家裝潢） 、韓國電視劇（電視節目） 、網紅行銷 (行銷) 、網路購物（零售） 、居家裝潢零售商 (零售) 、廣告（行銷） 、設計（設計） 、政府（政府機構） 或網路 (電腦運算)、行業類別：政府員工（全球） 、行政服務或教育和圖書館",訊息
28-60 / 南投霧峰 / 上班族 寵物,寬心璽玥,差,"28-60 / 南投霧峰 / 上班族 寵物
-霧峰工業區（+8 公里）, 中投東路一段， 台中市（+8 公里） Taichung; Nantou
-五金行（零售業者） 、上班族（流行文化） 、優惠券（優惠券和折扣） 、咖啡（美食和餐飲） 、超市（食品零售業者） 、電子商務網站 (網站) 、儲蓄（銀行業） 、個人理財（銀行業） 、網路銀行（銀行業） 、現金、運動俱樂部 (俱樂部和興趣取向協會) 、草地（園藝） 、公園與遊憩、寵物食品（寵物用品） 、狗狗美容（寵物） 、貓糧（寵物用品） 、 591房屋交易網或房屋（房地產）",訊息
28-60 / 南投霧峰 / 工業 房產,寬心璽玥,差,"28-60 / 南投霧峰 / 工業 房產
-霧峰工業區（+8 公里）, 中投東路一段， 台中市（+8 公里） Taichung; Nantou
-房屋（房地產） 、不動產（房地產） 、 591房屋交易網、房屋廣告和入口網站 (網站) 、製造生產服務和組織 (製造業) 、室內設計（設計） 、傢俱（居家裝潢） 、技術員、工業工程 (工程) 、零售業（產業） 、輪班工作制（商業與財務） 、機械工程（工程） 、新聞媒體（新聞服務） 、網路 (電腦運算) 、保險（商業與財務） 或保單（保險）",訊息
27-55 / 中科南屯 / 休閒活動 科技,惠田映悅,可,"27-55 / 中科南屯 / 休閒活動 科技
-水崛頭公園（+3 公里）, 台中矽品（+3 公里）, 台積電15b廠（+3 公里）, 台中工業區（+3 公里）, 精科路（+3 公里）
-iPhone（智慧型手機） 、旅遊網站（網站） 、智慧科技 (消費電子產品) 、半導體、新興技術（科學） 、軟體開發（軟體） 、 PlayStation（遊戲機） 、 Digital Trends（新聞服務） 、市場趨勢 (商業和金融業) 、網路銀行（銀行業） 、休閒餐廳 (餐廳) 、桌上遊戲（遊戲） 、保險（商業與財務） 、行動支付（貨幣） 、服飾品牌和零售商 (零售) 、網路購物網站 (網站) 、現場活動 (活動) 或節慶（活動）",名單
"28-55 / 西屯東海 / 商務人士
",惠田映悅,差,"28-55 / 西屯東海 / 商務人士
-水崛頭公園（+3 公里）, 水湳經貿園區（+3 公里）, 親家市政廣場（+3 公里）, 東海藝術商圈（+3 公里）
-金錢（貨幣） 、財經（商業與財務） 、會計學（商業與財務） 、財務會計（商業與財務） 、會計系統、銀行業（金融） 、財務規劃（投資） 、個人理財（銀行業） 、金融服務（商業與財務） 、企業家（商業與財務） 、投資（商業與財務） 、商業（商業與財務） 、財富管理（銀行業） 、資金、保險（商業與財務） 或財務顧問 (投資)、行為：小型企業主",名單
27-55 / 竹科竹北 / 投資置產 政治,美麗華山美,差,"27-55 / 竹科竹北 / 投資置產 政治
-新竹科學園區（+5 公里）, 竹北台元科技園區（+3 公里）, 竹北高鐵（+3 公里）, 新竹巨城百貨公司廣場（+3 公里）
-被動收入（商業與財務） 、收入（商業與財務） 、投資（商業與財務） 、金融市場（投資） 、股票市場（投資） 、房地產投資（投資） 、證券交易所（投資） 、交易策略（投資） 、股市指數 (投資) 、納斯達克100指數、共同基金 (投資) 、私人銀行服務、市場趨勢 (商業和金融業) 、高科技（電腦和電子產品） 、創新（商業與財務） 、股份 (金融) 、 591房屋交易網、政府（政府機構） 、社會政策或政治經濟學",訊息
30-55 / 西區西屯 / 娛樂活動 上班族,龍板靜玥,差,"30-55 / 西區西屯 / 娛樂活動 上班族
-五權車站（+3 公里）, 金典綠園道-第六市場（+3 公里）, 家樂福文心店 Carrefour（+3 公里）
-運動場所 (體育運動) 、上班族（流行文化） 、 UberEATS 、儲蓄（銀行業） 、現場活動 (活動) 、演唱會（音樂活動） 、派對（活動） 、流行音樂（音樂） 、美食（美食和餐飲） 、家樂福、優惠券（優惠券和折扣） 、旅行社和預訂 (旅遊觀光業) 、商業（商業與財務） 、行銷企劃 (行銷) 、設計（設計） 、團購、零食（美食和餐飲） 或 591房屋交易網",名單
30-55 / 南屯烏日 / 小家庭購屋,龍板靜玥,差,"30-55 / 南屯烏日 / 小家庭購屋
-文心森林公園（+3 公里）, 烏日高鐵站（+3 公里）, 精科路（+3 公里）, 大慶夜市（+3 公里）
-家庭（社會觀念） 、親子教育（兒童和親子教育） 、語言教育、課程（教育） 、幼兒照護（兒童和親子教育） 、兒童發展（小學和中學教育） 、烹飪（美食和餐飲） 、家電（消費電子產品） 、傢俱（居家裝潢） 、保險（商業與財務） 、公園、戶外休閒活動（戶外活動） 、防曬乳（護膚保養） 或遊樂場、感情狀況：已婚、家長：父母（全部）",名單
27-55 / 北屯西屯潭子 / 年輕娛樂,富宇藏富,差,"27-55 / 北屯西屯潭子 / 年輕娛樂
-台中中央公園（+3 公里）, 太原車站（+3 公里）, 頭家厝菜市場（+3 公里）
-儲蓄（銀行業） 、上班族（流行文化） 、行銷企劃 (行銷) 、美容沙龍（化妝品） 、網紅行銷 (行銷) 、數位行銷（行銷） 、媽媽寶寶-懷孕、生產、育兒、咖啡廳（咖啡） 、傢俱（居家裝潢） 、百貨公司（零售） 、簡餐館（餐廳） 、保險（商業與財務） 、行銷（商業與財務） 、品牌（行銷） 、時尚配件（飾品配件） 、服裝（服飾） 、婚禮（社會觀念） 、房地產（產業） 、育嬰假（兒童和親子教育） 、 http://booking.com/（旅遊觀光業） 或網路 (電腦運算)",名單
27-55 / 水湳中科 / 投顧 工程師,富宇藏富,差,"27-55 / 水湳中科 / 投顧 工程師
-KoDō和牛燒肉-北屯店（+3 公里）, 水湳經貿園區（+3 公里）, 中科路（+3 公里）
-人工智慧（計算） 、物聯網、室內設計（設計） 、 iPhone（智慧型手機） 、資料分析 (商業和金融業) 、共同基金 (投資) 、財務規劃（投資） 、大數據 (科學) 、金融服務（商業與財務） 、美食（美食和餐飲） 、免稅商店、財務顧問 (投資) 、智慧科技 (消費電子產品) 、納斯達克100指數、半導體、資料視覺化 (科學) 、股票市場（投資） 、商業智慧 (商業和金融業) 、投資（商業與財務） 、新興技術（科學） 、軟體開發（軟體） 、 Python（程式語言） 、旅遊（旅遊觀光） 或數位貨幣（貨幣）",名單
30-60 / 大里霧峰 / 上班族 藍領,大漁樂芙,差,"30-60 / 大里霧峰 / 上班族 藍領
-大里成功商圈（+3 公里）, 大里中興商圈（+3 公里）, 大里立新國小（+3 公里）, 霧峰工業區（+3 公里）
-保單（保險） 、個人理財（銀行業） 、儲蓄（銀行業） 、電子商務（零售） 、零售業（產業） 、批發（零售） 、經銷（商業） 、業務（商業與財務） 、房地產（產業） 、技術員、上班族（流行文化） 、飲料（美食和餐飲） 、炸雞 (餐盤) 、休閒餐廳 (餐廳) 、消費電子產品（電腦和電子產品） 、電信服務 (電信) 、製造生產服務和組織 (製造業) 、節慶（活動） 、室內設計（設計） 或 591房屋交易網",名單
28-55 / 南區東區太平 / 餐廳 串流媒體,大漁樂芙,優,"28-55 / 南區東區太平 / 餐廳 串流媒體
-臺中火車站（+3 公里）, 精武路（+3 公里）, 建國北黃昏市場（+5 公里）
-速食休閒餐廳 (餐廳) 、簡餐館（餐廳） 、甜點（美食和餐飲） 、在地美食（美食和餐飲） 、烘培坊（烘焙食品） 、火鍋、燒烤（烹飪） 、韓式料理（美食和餐飲） 、美食家（美食和餐飲） 、壽司（美食和餐飲） 、鮭魚、 Netflix（串流服務） 、 Spotify（串流服務） 、 Apple Music 、 YouTube（串流服務） 、 UberEATS 或行動支付（貨幣）",名單
28-60 / 竹南竹北 / 教育 生活,富廣ONNI,優,"28-60 / 竹南竹北 / 教育 生活
-國家衛生研究院（+3 公里）, 尚順購物中心（+3 公里） ; 竹南獅山親子公園（+5 公里）, 新竹巨城百貨公司廣場（+5 公里）, 竹北台元科技園區（+5 公里）, 竹東工研院（+5 公里）, 廣源科技園區（+3 公里）
-高等教育（教育） 、語言教育、外語、航空公司、教育（社會觀念） 、工程和理工學院 (教育) 、旅遊（旅遊觀光） 、旅遊網站（網站） 、網路 (電腦運算) 、慢跑（跑步） 、園藝（家居和園藝用品） 、超市（食品零售業者） 、生活用品（家居和園藝用品） 、網路社區、韓國電視劇（電視節目） 、美容（社會觀念） 、美學（哲學） 、商業模式 (商業和金融業) 或咖啡廳（咖啡）",1510
27-55 / 頭份竹南竹北 / 年輕工程師,光華盛璟,差,"27-55 / 頭份竹南竹北 / 年輕工程師
-竹南運動公園（+8 公里） ; 北新竹車站（+6 公里）, 新竹科學工業園區（+6 公里）
-人工智慧（計算） 、 Python（程式語言） 、軟體工程（資訊技術） 、智慧科技 (消費電子產品) 、大數據 (科學) 、軟體開發（軟體） 、 GitHub 、半導體、新興技術（科學） 、 iPhone（智慧型手機） 、 Apple Watch（消費電子產品） 、航空公司、酒精飲品（美食和餐飲） 、能量飲料（非酒精飲料） 、數位貨幣（貨幣） 、納斯達克100指數、投資（商業與財務） 、美食（美食和餐飲） 、餐廳（餐飲） 、住宅區（房地產） 或手機遊戲（電玩遊戲）",訊息
,永尚謙玥,⠀,,
27-55 / 北屯北區 / 購物美食,原潮APT,差,"27-55 / 北屯北區 / 購物美食
-松竹國小（+3 公里）, 精武路（+3 公里）, 總站夜市（+3 公里）
-購物中心（零售） 、網路購物（零售） 、家庭購物 (時尚和購物) 、百貨公司（零售） 、網路購物網站 (網站) 、服飾品牌和零售商 (零售) 、 Uber（公司） 、淘寶網、服裝（服飾） 、本日優惠（零售） 、電子商務（零售） 、時尚配件（飾品配件） 、美食（美食和餐飲） 、休閒餐廳 (餐廳) 、派對（活動） 、電影（娛樂與媒體） 、美容（社會觀念） 、 591房屋交易網、火鍋或燒牛肉",名單
30-60 / 北屯西屯 / 教育 高爾夫 名車,富宇藏富,差,"30-60 / 北屯西屯 / 教育 高爾夫 名車
-馬禮遜美國學校（+3 公里）, 中清交流道（+3 公里）, 葳格國際學校-小學部西屯校區（+3 公里）, 崇德路二段， 台中市（+3 公里） Taichung
-高爾夫球（體育運動） 、高爾夫球場（地標） 、高爾夫球裝備（運動用品） 、教練輔導（教育） 、親子教育（兒童和親子教育） 、國際學校（小學和中學教育） 、保時捷、賓士（交通工具） 、 BMW i 、特斯拉S型、外語、股份 (金融) 、管理（商業與財務） 、不動產（房地產） 、室內設計（設計） 、 591房屋交易網、高級訂製時裝（服飾） 、投資（商業與財務） 、律師（法律和法律服務） 、醫學院 (高等教育) 或企業家（商業與財務）",名單
"28-60 / 林口五股龜山 / AI 高消費
",家悦美(主),⠀,"28-60 / 林口五股龜山 / AI 高消費
-林口新創園（+5 公里）, 新北產業園區（+3 公里）, 華亞科技園區（+5 公里）, 台灣艾司摩爾（+3 公里） ; 美商祥茂光電科技（+5 公里）
-AI 、人工智慧（計算） 、智慧科技 (消費電子產品) 、新興技術（科學） 、半導體、軟體工程（資訊技術） 、程式語言（計算） 、 Python（程式語言） 、數位貨幣（貨幣） 、投資（商業與財務） 、石油、外匯市場（貨幣） 、納斯達克100指數、道瓊斯工業平均指數、精品（零售） 、油電混合車（交通工具） 、 iPhone（智慧型手機） 、市場趨勢 (商業和金融業) 或時尚配件（飾品配件）、行為：國際飛行常客",
30-55 / 林口桃園蘆竹 / 醫師 律師 高管,家悦美(主),⠀,"30-55 / 林口桃園蘆竹 / 醫師 律師 高管
-桃園林口長庚醫院（+5 公里） ; Costco好市多_桃園南崁店（+5 公里）, 桃園地方法院（+5 公里）, 台北高爾夫球場（+5 公里）
-醫學院 (高等教育) 、牙科學院 (高等教育) 、獸醫學（寵物服務） 、美容（社會觀念） 、膠原蛋白（科學） 、律師（法律和法律服務） 、法律分支 (法律和政府) 、律師事務所 (法律和法律諮詢服務) 、高階管理人員、財務顧問 (投資) 、財務規劃（投資） 、被動收入（商業與財務） 、股市指數 (投資) 、資產管理 (商業和金融業) 、俱樂部、路易威登（時尚品牌） 或香奈兒（時尚品牌）、行業類別：法律服務或健康照護與醫療服務",
28-55 / 彰市和美鹿港 / 創意設計,(傑芳) 維瓦第明日City,可,"28-55 / 彰市和美鹿港 / 創意設計
-彰化車站（+5 公里） ; 彰化基督教醫院（+5 公里）, 和美星巴克（+5 公里）, 85。c鹿港鹿和店（+5 公里）
-創意（社會觀念） 、室內設計（設計） 、平面設計（視覺藝術） 、行銷（商業與財務） 、社群媒體（網路媒體） 、設計（設計） 、手工藝（興趣） 、裝飾藝術（視覺藝術） 、網路購物網站 (網站) 、服飾品牌和零售商 (零售) 、中式料理（美食和餐飲） 、零食（美食和餐飲） 、便利商店（零售業者） 、 YouTube（串流服務） 或 591房屋交易網",名單
28-60 / 彰市伸港鹿港 / 科技質感興趣,(傑芳) 維瓦第明日City,可,"28-60 / 彰市伸港鹿港 / 科技質感興趣
-彰化車站（+5 公里） ; 85。c鹿港鹿和店（+5 公里）, 伸港鄉立圖書館（+5 公里）
-iPhone（智慧型手機） 、 Apple Watch（消費電子產品） 、智慧科技 (消費電子產品) 、穿戴式科技（消費電子產品） 、新興技術（科學） 、物聯網、商業智慧 (商業和金融業) 、商業模式 (商業和金融業) 、網路購物（零售） 、時尚配件（飾品配件） 、時尚設計（設計） 、室內設計（設計） 、宜家家居（零售業者） 、現代家具（居家裝潢） 、時事（政治） 、美食（美食和餐飲） 或 591房屋交易網",訊息
28-55 / 彰市和美伸港 / 醫師律師 / 自營商,坤辰師大苑,差,"28-55 / 彰市和美伸港 / 醫師律師 / 自營商
-國立和美實驗學校（+5 公里）, 彰化車站（+5 公里） ; 築間幸福鍋物 彰化自強店（+5 公里）, 伸港鄉立圖書館（+5 公里）
-律師（法律和法律服務） 、法律分支 (法律和政府) 、法律（法律和法律服務） 、商業（商業與財務） 、醫學院 (高等教育) 、牙科學院 (高等教育) 、社區議題（法律與政府） 、政府（政府機構） 、零售業（產業） 、經銷（商業） 、公共關係、以英語為第二語言或外語、投資（商業與財務） 、室內設計（設計） 、財產保險、電動車（交通工具） 、特斯拉汽車（交通工具） 、襯衫（服飾） 或手錶（飾品配件）、任職公司：自営業(個人事業主)",名單
28-55 / 西屯逢甲東海 / 1%+金融股票,惠田映悅,可,"28-55 / 西屯逢甲東海 / 1%+金融股票
-類似廣告受眾 (TW, 1%) - 富宇榮耀市政 180天網站像素、類似廣告受眾 (TW, 1%) - 富宇藏富 180天貼文互動、類似廣告受眾 (TW, 1%) - People who like 富宇藏富-北屯11期正核心、類似廣告受眾 (TW, 1%) - 富宇藏富/90天像素、類似廣告受眾 (TW, 1%) - 富宇鉑金大苑 / 粉專互動 / 180D 、類似廣告受眾 (TW, 1%) - 1510粉專 / 開啟表單 / 90D 、小艾中部2000以下網站訪客_180天_網頁瀏覽、類似廣告受眾 (1%) - People who like 浩瀚光与玥、類似廣告受眾 (1%) - 光与玥 / 粉專互動 / 180D 、類似廣告受眾 (TW, 1%) - 台中2000以下網站訪客_20230728 、類似廣告受眾 (1%) - 中科峇里島17 / 粉專互動 / 180D 或類似廣告受眾 (TW, 1%) - 富宇逢甲90天像素
-台中JMALL（+3 公里） ; 水湳經貿園區（+3 公里）, 水崛頭公園（+3 公里）, 東海藝術商圈（+3 公里）
-股票（投資） 、證券交易所（投資） 、金融市場（投資） 、股份 (金融) 、金錢（貨幣） 、被動收入（商業與財務） 、股市指數 (投資) 、共同基金 (投資) 、股票經紀人 (投資) 或企業家（商業與財務）",名單
28-55 / 西屯逢甲 / 1%+房產興趣,惠田映悅,可,"28-55 / 西屯逢甲 / 1%+房產興趣
-類似廣告受眾 (TW, 1%) - 富宇榮耀市政 180天網站像素、類似廣告受眾 (TW, 1%) - 富宇藏富 180天貼文互動、類似廣告受眾 (TW, 1%) - People who like 富宇藏富-北屯11期正核心、類似廣告受眾 (TW, 1%) - 富宇藏富/90天像素、類似廣告受眾 (TW, 1%) - 富宇鉑金大苑 / 粉專互動 / 180D 、類似廣告受眾 (TW, 1%) - 1510粉專 / 開啟表單 / 90D 、小艾中部2000以下網站訪客_180天_網頁瀏覽、類似廣告受眾 (1%) - People who like 浩瀚光与玥、類似廣告受眾 (1%) - 光与玥 / 粉專互動 / 180D 或類似廣告受眾 (TW, 1%) - 台中2000以下網站訪客_20230728
-台中JMALL（+3 公里） ; 水崛頭公園（+3 公里）, 水湳經貿園區（+3 公里）
-房屋（房地產） 、 591房屋交易網、投資（商業與財務） 、房地產投資（投資） 、房地產（產業） 或不動產（房地產）",名單
"高效速成-28-60  / 埔里草屯 / 房地產
",寬心璽玥,可,"高效速成-28-60  / 埔里草屯 / 房地產
-草屯市區（+10 公里）, 中投交流道（+10 公里） ; 埔里國小（+10 公里）
- 室內設計（設計） 、房屋（房地產） 、 591房屋交易網、現代家具（居家裝潢） 或房地產（產業）",訊息
"28-60 / 埔里草屯霧峰 / 家長 房產
",寬心璽玥,可,"28-60 / 埔里草屯霧峰 / 家長 房產
-霧峰工業區（+8 公里）, 草屯市區（+8 公里）, 中投東路一段， 台中市（+8 公里） Taichung; 埔里國小（+8 公里）, 埔里國中（+8 公里）, 埔里觀光酒廠（+8 公里）
-房屋（房地產） 、超市（食品零售業者） 、 591房屋交易網、家務（家居和園藝用品） 、教育（社會觀念） 、生活用品（家居和園藝用品） 、不動產（房地產） 、網路 (電腦運算) 、新聞媒體（新聞服務） 或房屋廣告和入口網站 (網站)、家長：父母（全部）",訊息
28-60 / 頭份竹南 / 生活旅遊,富廣ONNI,可,"28-60 / 頭份竹南 / 生活旅遊
-國家衛生研究院（+5 公里）, 尚順廣埸（+5 公里）, 凱撒衛浴造橋發貨中心（+5 公里） ; 竹南獅山親子公園（+5 公里）, 廣源科技園區（+5 公里）
-度假屋（住宿） 、旅遊（旅遊觀光） 、飯店（住宿） 、遊程承攬業、跟團旅行 (旅遊觀光) 、水療（個人護理） 、美容（社會觀念） 、中式料理（美食和餐飲） 、台灣菜、銀行和金融服務 (銀行業) 、新聞媒體（新聞服務） 、政府（政府機構） 或外匯市場（貨幣）",訊息
