興趣,類型,成效
"30-60 / 彰化市鹿港秀水 / 公務員
-彰化車站（+5 公里）, 彰化縣秀水鄉公所（+5 公里） ; 鹿港鎮公所（+5 公里）
-上班族（流行文化） 、小吃、零食（美食和餐飲） 、速食（美食和餐飲） 、街邊小吃 (外燴和餐飲服務) 、在地美食（美食和餐飲） 、金融服務（商業與財務） 、顧客服務（商業與財務） 、辦公室套件、家庭（社會觀念） 、親子教育（兒童和親子教育） 、 UberEATS 、飲料（美食和餐飲） 、超市（食品零售業者） 、早餐（美食和餐飲） 、優惠券（優惠券和折扣） 、外賣店（美食和餐飲） 、政府（政府機構） 或地方政府、行業類別：保護服務、健康照護與醫療服務、商業與金融、政府員工（全球） 、教育和圖書館或行政服務",名單,可
"30-60 / 和美鹿港秀水/ 自營商+房產
-鹿港天后宮（+5 公里） ; 和美國小（+5 公里）, 秀水_龍騰公園（+5 公里）
-獨資企業（商業與財務） 、自僱（工作機會） 、收入（商業與財務） 、自由工作者（工作機會） 、徵才（工作機會） 、人力銀行（工作機會） 、創意創業 (商業和金融業) 、零售業（產業） 、批發（零售） 、經銷（商業） 、轎車（汽車） 、管理（商業與財務） 、商用車輛、房屋（房地產） 、 591房屋交易網、傢俱（居家裝潢） 、個人理財（銀行業） 、家庭（社會觀念） 、休閒娛樂（社會觀念） 、餐廳（餐飲） 或室內設計（設計）, 行為：小型企業主, 任職公司：自営業(個人事業主)",訊息,可
"30-60 / 大台中 / 純房產
-台中中央公園（+15 公里）
-房地產經濟學 (經濟) 、不動產（房地產） 、房屋（房地產） 、公寓（房地產） 、公寓大樓（房地產） 、住宅區（房地產） 、由擁有者出售 (房地產) 、租賃（房地產） 、新家、 591房屋交易網或房屋廣告和入口網站 (網站)",知名度,可
"26-55 / 北部中部 / 百葉簾
-台北車站（+25 公里） ; 楊梅車站（+25 公里） ; 台中中央公園（+25 公里） ; 永靖車站（+25 公里） ; 三義車站（+25 公里）
-百葉簾、居家裝修（家居和園藝用品） 或 Window shutter",流量,可
"30-60 / 大里東區 / 通勤上班
-大里十九甲（+5 公里）, LaLaport Taichung（+5 公里）
-公共運輸（交通運輸） 、 Uber（公司） 、上班族（流行文化） 、駕駛（交通工具） 、天氣預報、新聞媒體（新聞服務） 、廣播、流行音樂（音樂） 、 UberEATS 、迷因和社群媒體貼文分享論壇 (網站) 、線上訂餐（美食和餐飲） 、外賣店（美食和餐飲） 、速食（美食和餐飲） 、便利商店（零售業者） 或網路購物網站 (網站)、行為：通勤者",名單,可
"30-60 / 南區南屯西區 / 金融房產興趣
-台中公園（+3 公里）, 中山醫學大學（+3 公里）, 林新醫院 Lin-Shin Hospital（+3 公里）
-房屋（房地產） 、 591房屋交易網、運動（體育運動） 、公寓大樓（房地產） 、收入（商業與財務） 、新聞媒體（新聞服務） 、金融市場（投資） 、股票（投資） 、財富（經濟） 、羽球 (球拍類運動) 、住宅區（房地產） 或房屋廣告和入口網站 (網站)",互動,可
"30-60 / 梧棲清水大雅 / 流行跟風
-大楊國小（+5 公里）, 台中梧棲區（+5 公里）, 伊沙貝爾—數位烘焙體驗館（+5 公里）
-流行文化（社會觀念） 、網路迷因（流行文化） 、街頭時尚（服飾） 、爆紅影片 (網路影片) 、趣味 (興趣和休閒活動) 、綜藝節目 (表演藝術) 、熱門話題、真人實境秀（電影和電視） 、音樂節（活動） 、啤酒節、 YouTube（串流服務） 、幽默 (喜劇) 、首映、演唱會（音樂活動） 或新浪潮",訊息,可
"30-65 / 西屯北屯 / 純房產興趣
-統聯中港轉運站 U Bus（+5 公里）, 新天地崇德旗艦店（+5 公里）
-房屋（房地產） 、由擁有者出售 (房地產) 、房地產經濟學 (經濟) 、 591房屋交易網、租賃（房地產） 、新家、住宅區（房地產） 、公寓大樓（房地產） 、房地產（產業） 、起步房（房地產） 或房屋廣告和入口網站 (網站)",名單,可
"28-55 / 北屯北區 / 家庭主婦
-太原車站（+3 公里）, ALL IN 運動館（+3 公里）, 東山黃昏市場（+3 公里）
-烹飪（美食和餐飲） 、廚房（家居和園藝用品） 、廚具（廚房與餐廚） 、家電（消費電子產品） 、家務（家居和園藝用品） 、中式料理（美食和餐飲） 、生活用品（家居和園藝用品） 、個人理財（銀行業） 、優惠券（優惠券和折扣） 、超市（食品零售業者） 、一般保險 (保險) 、 591房屋交易網、購物中心（零售） 或烘培坊（烘焙食品）",名單,可
"30-60 / 大里烏日南屯 / 純房產興趣
-烏日工業城（+3 公里）, 大里十九甲（+5 公里）, 台中好巿多（+3 公里）
-房地產（產業） 、房屋（房地產） 、公寓大樓（房地產） 、住宅區（房地產） 、起步房（房地產） 、 591房屋交易網、房屋廣告和入口網站 (網站) 、房地產經濟學 (經濟) 、租賃（房地產） 或由擁有者出售 (房地產)",訊息,優
"18-45 / 大台中 / 室內娛樂
-球霸撞球運動休閒館（+3 公里）, 雅環保齡球館（+3 公里）, TIGER球の運動館（+3 公里）、大魯閣保齡球棒壘球 新時代館（+3 公里）
-街機、網路迷因（流行文化） 、運動（體育運動） 、撞球、網路購物（零售） 、休閒娛樂（社會觀念） 、酒精飲品（美食和餐飲） 、保齡球、休閒活動（休閒） 、飛鏢、復古遊戲、玩家（電玩遊戲） 、 YouTube（串流服務） 、 Nike 球鞋 (鞋類) 或羽球 (球拍類運動)",互動,可
"28-65 / 埔里 草屯 / 純房產
1.地點：草屯市區（+20 公里） ; 埔里國小（+20 公里）
2.興趣：房屋（房地產） 、公寓（房地產） 、房地產經濟學 (經濟) 、 591房屋交易網、房地產開發（房地產） 、新家、住宅區（房地產） 、房地產投資（投資） 、房地產（產業） 、不動產（房地產） 、新聞媒體（新聞服務） 或房屋廣告和入口網站 (網站)",訊息,可
"30-60 / 竹南 竹北 / 設計+休閒
1.地點：竹南運動公園（+6 公里） ; 新竹科學工業園區（+6 公里）, 北新竹車站（+6 公里）
2.興趣：居家裝修（家居和園藝用品） 、室內設計（設計） 、設計（設計） 、住家修繕（居家裝修） 、平面設計（視覺藝術） 、網站設計（網站） 、時尚設計（設計） 、服裝（服飾） 、時尚配件（飾品配件） 、休閒娛樂（社會觀念） 、休閒遊戲（電玩遊戲） 、網路購物（零售） 、百貨公司（零售） 、房屋（房地產） 或房屋廣告和入口網站 (網站)

27-60
-室內設計（設計） 、房屋（房地產） 、平面設計（視覺藝術） 、百貨公司（零售） 、居家裝修（家居和園藝用品） 、時尚設計（設計） 、網路購物（零售） 、時尚配件（飾品配件） 、休閒娛樂（社會觀念） 、網站設計（網站） 、服裝（服飾） 、設計（設計） 、房屋廣告和入口網站 (網站) 、休閒餐廳 (餐廳) 、美容（社會觀念） 或居家事業（商業與財務）",訊息,優
"30-65 / 埔里 草屯 / 鎖產業
1.地點：草屯市區（+15 公里） ; 埔里國小（+15 公里）
2.興趣：591房屋交易網、房屋廣告和入口網站 (網站) 、新聞媒體（新聞服務） 或家庭（社會觀念）、行業類別：行政服務、教育和圖書館、健康照護與醫療服務、商業與金融、農、林、漁業、食品與餐飲、安裝與維修服務、法律服務、藝術、娛樂、運動和媒體、製造或運輸與搬運",訊息,可
"35-60 / 大雅 神岡 沙鹿 / 教職員+房產興趣
1.地點：大楊國小（+5 公里）, 台中日僑學校（+5 公里）, 神岡國小（+5 公里）, 靜宜大學（+5 公里）
2.興趣：高等教育（教育） 、新聞媒體（新聞服務） 、書籍（媒體刊物） 、文化（社會觀念） 、財經（商業與財務） 、電視台、教育（社會觀念） 、圖書館、房屋（房地產） 、公寓（房地產） 、房地產投資（投資） 、 591房屋交易網或房屋廣告和入口網站 (網站), 行業類別：教育和圖書館",訊息,優
"28-60 / 太平大里74沿 / 小家庭
1.地點：台灣：三甲公園（+3 公里）, 太平工業區（+3 公里）, 大里軟體園區（+3 公里）, 東峰公園（+3 公里）
2.興趣：上班族（流行文化） 、金錢（貨幣） 、收入（商業與財務） 、網路購物（零售） 、折扣和折讓（優惠券和折扣） 、行動支付（貨幣） 、爆紅影片 (網路影片) 、 YouTube（串流服務） 、社群媒體（網路媒體） 、家電（消費電子產品） 、住宅區（房地產） 、質感設計、 591房屋交易網、樂屋網或生活用品（家居和園藝用品）",名單,可
"30-55 / 台3 74沿/ 新婚上班族
1.地點：台中高工（+3 公里）, 大里軟體園區（+3 公里）, 大里十九甲（+3 公里）, 霧峰區公所（+3 公里）
2.興趣：訂婚（婚禮） 、求婚（婚禮） 、婚禮（社會觀念） 、旅遊（旅遊觀光） 、 Booking.com（旅遊觀光業） 、旅遊網站（網站） 、 Trivago 、 Hotels.com（住宿） 、咖啡（美食和餐飲） 、星巴克（咖啡） 、宜家家居（零售業者） 、家電（消費電子產品） 、 591房屋交易網或房屋廣告和入口網站 (網站)",訊息,優
"1.地區-靜宜大學（+3 公里）, 東海大學（+3 公里）, 伸港忠孝醫院（+3 公里）, 清水高中（+3 公里）, 台中日僑學校（+3 公里）, 童綜合醫院 梧棲院區（+3 公里）
2.興趣-高等教育（教育） 、教育（社會觀念） 、新聞媒體（新聞服務） 、時事（政治） 、大眾媒體（娛樂與媒體） 、金融市場（投資） 、旅遊平安保險、學習（教育） 、保險（商業與財務） 、家庭（社會觀念） 、住宅區（房地產） 或房屋廣告和入口網站 (網站)、行業類別：教育和圖書館或健康照護與醫療服務",訊息,可
"1.地區-清水區（+5 公里）, 沙鹿車站（+5 公里）, 精科南路（+5 公里）
2.興趣-消費電子產品媒體和內容 (電腦和電子產品) 、電腦 (電腦和電子產品) 、科技（電腦和電子產品） 、電競電腦（電腦硬體） 、智慧科技 (消費電子產品) 、 MacBook 、 Apple Watch（消費電子產品） 、 PlayStation（遊戲機） 、任天堂 (遊戲機和相關配件) 、 iPad 、虛擬實境（遊戲） 、戴森、飛利浦、伊萊克斯、三星電子（消費電子產品） 、房屋廣告和入口網站 (網站) 或 591房屋交易網",訊息,可
"1.地點：台灣：弘光科技大學（+5 公里）, 台中港-三井outlet（+5 公里）, 中港系統交流道（+5 公里）, 大肚藍色公路（+5 公里） ; 全興工業區（+5 公里）
2.興趣：房地產（產業） 、房屋（房地產） 、公寓（房地產） 、居家裝修（家居和園藝用品） 、建築物（建築） 、 591房屋交易網、房屋廣告和入口網站 (網站) 、水利產業、汽車業（產業） 、製造生產服務和組織 (製造業) 或住宅興建（建築業）、行業類別：製造、建築與採石或資訊科技和技術服務",流量,可
"30-60 / 北屯  太平 中區 / 體育+金錢興趣
1.地點： 迪卡農北屯店（+3 公里）, 台體體育館（+3 公里）, 太平運動場（+3 公里）, 潭子勝利運動公園（+3 公里）, 新都生態公園（+3 公里）
2.興趣：金錢（貨幣） 、收入（商業與財務） 、財富（經濟） 、被動收入（商業與財務） 、體育、運動（體育運動） 、健身（健身） 、高爾夫球（體育運動） 、羽球 (球拍類運動) 、迪卡儂、團隊運動 (團隊運動) 、自行車（體育運動） 、房屋（房地產） 、 591房屋交易網或樂屋網",名單,可
"30-60 / 北屯 太平 / 教授 醫療人員
1.地點：慈濟醫院、中台科大、勤益科大、中國醫、中興大學+台中巿牙醫師公會（+5 公里）, 國立勤益科技大學（+5 公里）, 台中慈濟醫院-急診室（+5 公里）, 台中市醫師公會（+5 公里）
2.興趣：大學（高等教育） 、研究所教育（高等教育） 、學術研討會、新聞媒體（新聞服務） 、網絡報紙（媒體刊物） 、社群媒體（網路媒體） 、財經（商業與財務） 、時事（政治） 、電視節目（電影和電視） 、金融市場（投資） 、 591房屋交易網、樂屋網或房屋（房地產）
• 行業類別：教育和圖書館或健康照護與醫療服務",名單,可
"1.地點：烏日工業城（+3 公里）, 太平工業區（+3 公里）, 大里工業區（+3 公里）, 霧峰工業區（+3 公里）
2.職業&興趣：工廠（製造業） 、物流（商業與財務） 、機械加工、倉儲業（產業） 、保險（商業與財務） 、保單（保險） 、金錢（貨幣） 、收入（商業與財務） 、促銷（行銷） 、居家裝修（家居和園藝用品） 、公寓大樓（房地產） 、住宅區（房地產） 或新家",訊息,可
"1.地區-竹南科學園區（+5 公里）, 新竹科學工業園區（+5 公里）, 竹南獅山親子公園（+3 公里）
2.興趣-豪華轎車（交通工具） 、收入（商業與財務） 、股票（投資） 、金錢（貨幣） 、數位貨幣（貨幣） 、股票市場（投資） 、體育、運動（體育運動） 、跑步（體育運動） 、財富（經濟） 、外匯市場（貨幣） 、戶外休閒活動（戶外活動） 、房屋（房地產） 或 591房屋交易網",訊息,優
"1.地點：清水服務區（+3 公里）, 中部科學園區（+5 公里）, 中部科學園區 后里園區（+3 公里）, 葫蘆墩公園（+3 公里）
2.興趣：PlayStation（遊戲機） 、玩家（電玩遊戲） 、休閒遊戲（電玩遊戲） 、高科技（電腦和電子產品） 、智慧科技 (消費電子產品) 、人工智慧（計算） 、顧客服務（商業與財務） 、金融服務（商業與財務） 、美食（美食和餐飲） 、羽球 (球拍類運動) 、運動（體育運動） 、房地產（產業） 、 591房屋交易網或樂屋網",訊息,可
"35-60 / 清水 神岡 潭子 / 藍領+日用品
1.地點：和睦路一段（+3 公里）, 豐洲科技工業園區（+5 公里）, 潭子加工出口區（+3 公里）
2.興趣：技術員、工廠（製造業） 、加工出口工廠、製造業（產業） 、物流（商業與財務） 、保險（商業與財務） 、保單（保險） 、家庭（社會觀念） 、超市（食品零售業者） 、量販店（食品零售業者） 、家樂福、居家裝修（家居和園藝用品） 、五金行（零售業者） 、房地產（產業） 或 591房屋交易網",訊息,優
"1.林酒店（+5 公里）, 弘光科技大學（+5 公里）, 台中港-三井outlet（+5 公里）, 中港系統交流道（+5 公里）, 大肚藍色公路（+5 公里）
2.房地產（產業） 、不動產（房地產） 、房屋（房地產） 、公寓（房地產） 、家庭（社會觀念） 、宜家家居（零售業者） 、現代家具（居家裝潢） 、室內設計（設計） 、 591房屋交易網、房屋廣告和入口網站 (網站) 或新家",訊息,可
"1.靜宜大學（+5 公里）, 台中港-三井outlet（+5 公里）, 東海藝術街商圈Art Street（+5 公里）
2.生活品質（心理學） 、無印良品、 Workinghouse 生活工場、 H&M（服飾） 、 Zara（零售業者） 、 Uniqlo（服飾） 、宜家家居（零售業者） 、旅遊（旅遊觀光） 、日本（地標） 、日本料理（美食和餐飲） 、房地產（產業） 、住家（家居和園藝用品） 或房屋（房地產）",名單,可
"28-55 / 十期東區 / 餐廳 串流媒體
-精武路（+2 公里）, 太原車站（+3 公里）, 頭家厝菜市場（+3 公里）
-速食休閒餐廳 (餐廳) 、簡餐館（餐廳） 、甜點（美食和餐飲） 、在地美食（美食和餐飲） 、烘培坊（烘焙食品） 、火鍋、燒烤（烹飪） 、韓式料理（美食和餐飲） 、美食家（美食和餐飲） 、壽司（美食和餐飲） 、鮭魚、 Netflix（串流服務） 、 Spotify（串流服務） 、 Apple Music 、 YouTube（串流服務） 、 UberEATS 或行動支付（貨幣）
1125
-精武路（+3 公里）, 太原車站（+3 公里）, 頭家厝菜市場（+3 公里）
-UberEATS 、 Spotify（串流服務） 、烘培坊（烘焙食品） 、甜點（美食和餐飲） 、行動支付（貨幣） 、簡餐館（餐廳） 、在地美食（美食和餐飲） 、火鍋、鮭魚、韓式料理（美食和餐飲） 、壽司（美食和餐飲） 、 Netflix（串流服務） 、速食休閒餐廳 (餐廳) 、燒烤（烹飪） 、美食家（美食和餐飲） 、 YouTube（串流服務） 、 Apple Music 、速食餐廳（餐飲） 、自助餐或真人實境秀（電影和電視）",訊息,優
"28-60 / 北屯太平東區 / 年輕自住
-太平運動公園（+3 公里）, 台中市北屯兒童公園（+3 公里）, 台中秀泰站前s1館（+3 公里）
-上班族（流行文化） 、服裝（服飾） 、購物中心（零售） 、美容（社會觀念） 、時尚配件（飾品配件） 、化妝品（個人護理） 、個人理財（銀行業） 、儲蓄（銀行業） 、熱門話題、網路銀行（銀行業） 、網路購物（零售） 、淘寶網、 momo購物網、行動支付（貨幣） 、 LINE 、行動應用程式（軟體） 、流行音樂（音樂） 、啤酒（酒精飲料） 、 UberEATS 、運動（體育運動） 、 591房屋交易網或房屋廣告和入口網站 (網站)",訊息,優
"1.地點：中台科技大學（+3 公里）, 北屯捷運總站（+3 公里）, 祥順運動公園（+3 公里）, 大興十九街1巷， 台中市（+3 公里） Taichung
2.興趣：閱讀（傳播） 、書籍（媒體刊物） 、廚房（家居和園藝用品） 、教育（社會觀念） 、大自然（科學） 、家庭（社會觀念） 、烹飪（美食和餐飲） 、學區、旅遊（產業） 、休閒活動（休閒） 、假期（活動） 、房地產（產業） 、 591房屋交易網或樂屋網",訊息,優
"1.地點：大里工業區（+3 公里）, 台中大里軟體園區（+3 公里）, 太平工業區（+3 公里）, 大興十九街1巷， 台中市（+3 公里） Taichung
2.興趣：金錢（貨幣） 、財富（經濟） 、投資（商業與財務） 、收入（商業與財務） 、汽車（交通工具） 、電子商務（零售） 、股票（投資） 、羽球 (球拍類運動) 、酒精飲品（美食和餐飲） 、房地產（產業） 、房屋（房地產） 、 591房屋交易網或樂屋網
• 行業類別：資訊科技和技術服務或製造",訊息,優
"28-55 / 北屯太平 / 藍領 公教職
-頭家厝菜市場（+3 公里）, 太原車站（+3 公里）, 中臺科技大學（+3 公里）, 大源十九街， 台中市（+5 公里） Taichung
-師範教育（職業訓練） 、技術員、上班族（流行文化） 、工廠（製造業） 、保單（保險） 、存款帳戶 (銀行業) 、配電系統、代工生產、公共運輸（交通運輸） 、超市（食品零售業者） 或本日優惠（零售）, 行業類別：保護服務、政府員工（全球） 、教育和圖書館或行政服務
1204(普)
+教育資源 (教育) 、節儉生活風格內容 (零售) 、教養方式 (兒童和親子教育) 、專業發展（職業訓練） 、 Retirement Insurance Benefits 、退伍軍人福利（軍事） 或家務管理和整理 (居家和園藝用品)
1209
-Retirement Insurance Benefits 、工廠（製造業） 、師範教育（職業訓練） 、存款帳戶 (銀行業) 、超市（食品零售業者） 、保單（保險） 、配電系統、技術員、退伍軍人福利（軍事） 、代工生產、專業發展（職業訓練） 、節儉生活風格內容 (零售) 、教育資源 (教育) 、旋轉式刮鬍刀、摩托車配件（交通工具） 、市政事務 (法律和政府) 或生活風格 (生活風格內容), 行業類別：行政服務、教育和圖書館、保護服務或政府員工（全球）
0113
+臺中孔廟（+3 公里） ",訊息,優
"28-55 / 沙鹿 / 公教職員
-沙鹿郵局（+3 公里）, 臺中市立圖書館沙鹿深波分館/文昌分館（+3 公里）
-教育（社會觀念） 、學習（教育） 、專業發展（職業訓練） 、書籍（媒體刊物） 、新聞媒體（新聞服務） 、學校（教育） 、社區議題（法律與政府） 、家庭（社會觀念） 、均衡飲食（個人護理） 、健身和保健（健身） 、社群媒體（網路媒體） 、政府機關概念和作法 (法律和政府) 、財政預算案或快時尚（服飾）, 行業類別：保護服務、教育和圖書館、社區和社會服務或軍事（全球）
1201
-沙鹿郵局（+3 公里）, 嘉陽高中（+3 公里）, 臺中市立圖書館沙鹿深波分館/文昌分館（+3 公里）",訊息,優
"30-60 / 中科南屯南區 / 年輕人興趣
-中興大學惠蓀堂（+2 公里）, 台中車站（+5 公里）, 文心森林公園（+5 公里）, 中科路， 台中市（+5 公里） Taichung
-UberEATS 、戶外（戶外活動） 、人工智慧（計算） 、室內設計（設計） 、上班族（流行文化） 、程式語言（計算） 、資訊科技（電腦和電子產品） 、藝術展覽（視覺藝術） 、親子教育（兒童和親子教育） 、網站開發（網站） 、網路購物（零售） 、航空公司、投資（商業與財務） 、軟體開發（軟體） 、餐廳（餐飲） 、星巴克（咖啡） 、零售業（產業） 、電腦程式設計（電腦和電子產品） 、科技（電腦和電子產品） 、旅遊（旅遊觀光） 、 Trivago 或 Booking.com（旅遊觀光業）
• 行業類別：業務也必須符合：
• 興趣：591房屋交易網、房地產（產業） 或不動產（房地產）",名單,優
"27-55 / 榮總澄清南屯 / 醫護 生物科技
-台中榮總急診大樓（+4 公里）, 台中澄清醫院中港分院（+4 公里）, 鄭杏泰生物科技（+4 公里）
-實驗室、啤酒（酒精飲料） 、保單（保險） 、個人理財（銀行業） 、派對（活動） 、生物技術、生物化學、 591房屋交易網、高等教育（教育） 、時尚配件（飾品配件） 、牙科學院 (高等教育) 、新興技術（科學） 、生物學（科學） 、服裝（服飾） 、醫學院 (高等教育) 、創新科技、政府（政府機構） 、新聞媒體（新聞服務） 、獸醫、休閒餐廳 (餐廳) 或運動場所 (體育運動), 行業類別：行政服務、健康照護與醫療服務、生命、物理及社會科學或政府員工（全球）

-光田綜合醫院 Kuang Tien General Hospital（+4 公里）, 台中榮總急診大樓（+4 公里）, 優生生物科技（+4 公里）, 清泉醫院（+4 公里）, 台中澄清醫院中港分院（+4 公里）",名單,可
"27-55 / 中科世貿 / 年輕工程師
-中科路（+5 公里）, 台中矽品（+5 公里）, 台中世貿中心（+5 公里）
-半導體、人工智慧（計算） 、大數據 (科學) 、軟體工程（資訊技術） 、軟體開發（軟體） 、電腦程式設計（電腦和電子產品） 、資訊科技（電腦和電子產品） 、電腦工程（工程） 、機器學習（計算） 、任天堂 (遊戲機和相關配件) 、 Python（程式語言） 、 PlayStation（遊戲機） 、 UberEATS 、酒精飲品（美食和餐飲） 、美食（美食和餐飲） 、市場趨勢 (商業和金融業) 或數位貨幣（貨幣）、任職公司：台灣積體電路製造或矽品精密",名單,優
"28-55 / 西屯逢甲 / 1%+房產興趣
-類似廣告受眾 (TW, 1%) - 富宇榮耀市政 180天網站像素、類似廣告受眾 (TW, 1%) - 富宇藏富 180天貼文互動、類似廣告受眾 (TW, 1%) - People who like 富宇藏富-北屯11期正核心、類似廣告受眾 (TW, 1%) - 富宇藏富/90天像素、類似廣告受眾 (TW, 1%) - 富宇鉑金大苑 / 粉專互動 / 180D 、類似廣告受眾 (TW, 1%) - 1510粉專 / 開啟表單 / 90D 、小艾中部2000以下網站訪客_180天_網頁瀏覽、類似廣告受眾 (1%) - People who like 浩瀚光与玥、類似廣告受眾 (1%) - 光与玥 / 粉專互動 / 180D 或類似廣告受眾 (TW, 1%) - 台中2000以下網站訪客_20230728
-台中JMALL（+3 公里） ; 水崛頭公園（+3 公里）, 水湳經貿園區（+3 公里）
-房屋（房地產） 、 591房屋交易網、投資（商業與財務） 、房地產投資（投資） 、房地產（產業） 或不動產（房地產）",名單,可
"28-55 / 西屯逢甲東海 / 1%+金融股票
-類似廣告受眾 (TW, 1%) - 富宇榮耀市政 180天網站像素、類似廣告受眾 (TW, 1%) - 富宇藏富 180天貼文互動、類似廣告受眾 (TW, 1%) - People who like 富宇藏富-北屯11期正核心、類似廣告受眾 (TW, 1%) - 富宇藏富/90天像素、類似廣告受眾 (TW, 1%) - 富宇鉑金大苑 / 粉專互動 / 180D 、類似廣告受眾 (TW, 1%) - 1510粉專 / 開啟表單 / 90D 、小艾中部2000以下網站訪客_180天_網頁瀏覽、類似廣告受眾 (1%) - People who like 浩瀚光与玥、類似廣告受眾 (1%) - 光与玥 / 粉專互動 / 180D 、類似廣告受眾 (TW, 1%) - 台中2000以下網站訪客_20230728 、類似廣告受眾 (1%) - 中科峇里島17 / 粉專互動 / 180D 或類似廣告受眾 (TW, 1%) - 富宇逢甲90天像素
-台中JMALL（+3 公里） ; 水湳經貿園區（+3 公里）, 水崛頭公園（+3 公里）, 東海藝術商圈（+3 公里）
-股票（投資） 、證券交易所（投資） 、金融市場（投資） 、股份 (金融) 、金錢（貨幣） 、被動收入（商業與財務） 、股市指數 (投資) 、共同基金 (投資) 、股票經紀人 (投資) 或企業家（商業與財務）",名單,可
"30-60 / 東海逢甲太原 / 企業主管
-太原車站（+5 公里）, 東海藝術商圈（+5 公里）, 逢甲夜市（+5 公里）
-高階管理人員、行銷企劃 (行銷) 、商業計畫 (商業活動) 、中小型企業（商業與財務） 、商業模式 (商業和金融業) 、戰略計劃、社群媒體行銷（行銷） 、購物中心（零售） 、商業（商業與財務） 、網紅行銷 (行銷) 或管理（商業與財務）、行為：小型企業主
1125
-彰化車站（+6 公里）, 洲際棒球場（+5 公里）, 逢甲夜市（+5 公里）, 靜宜大學 Providence University（+5 公里）, 東海藝術商圈（+5 公里）
1201(超優)
-台中JMALL（+5 公里） ; 洲際棒球場（+5 公里）, 靜宜大學 Providence University（+3 公里）, 東海藝術商圈（+5 公里）, 金典綠園道商場（+3 公里）
1211
+生產率、企業孵化器、會員集點計畫 (優惠券、折扣和購物回饋) 或商務旅遊（旅遊觀光業）",名單,優
"30-65 / 嶺東烏日南區 / 企業主管
-新烏日車站（+3 公里）, 嶺東科技大學（+3 公里）, 文心森林公園站（+3 公里）, 大慶夜市（+3 公里）
-高階管理人員、管理（商業與財務） 、商業（商業與財務） 、商業計畫 (商業活動) 、中小型企業（商業與財務） 、戰略計劃、商業模式 (商業和金融業) 、社群媒體行銷（行銷） 、行銷企劃 (行銷) 、網紅行銷 (行銷) 或購物中心（零售）、行為：小型企業主
1201
-新烏日車站（+5公里）, 嶺東科技大學（+3 公里）, 文心森林公園站（+3 公里）, 大慶夜市（+3 公里）
1211
+商機 (商業和金融業) 、業務開發 (商業活動) 、價格或節慶（活動）",名單,優
"28-55 / 西區北區北屯 / 設計 美食 科技
-北屯國民運動中心（+3 公里）, 天津路年貨大街（+3 公里）, 勤美 誠品綠園道（+3 公里）, 大富街， 台中市（+3 公里） Taichung
-美容（社會觀念） 、物聯網、室內設計（設計） 、上班族（流行文化） 、平面設計（視覺藝術） 、咖啡廳（咖啡） 、美食（美食和餐飲） 、 591房屋交易網、髮型（護髮保養） 、時尚設計（設計） 、智慧科技 (消費電子產品) 、 Adobe Illustrator 、自由工作者（工作機會） 、網站設計（網站） 、居家事業（商業與財務） 、設計（設計） 、休閒餐廳 (餐廳) 或服飾品牌和零售商 (零售)",名單,可
"28-55 / 西區西屯南屯 / 年輕 成家 理財
-黎明新村（+3 公里）, 台中工業區（+3 公里）, 台中好巿多（+3 公里）, IKEA 宜家家居 台中店（+3 公里）
-UberEATS 、上班族（流行文化） 、註冊會計師、美容沙龍（化妝品） 、金融市場（投資） 、金錢（貨幣） 、電動車（交通工具） 、證券交易所（投資） 、媽媽寶寶-懷孕、生產、育兒、個人理財（銀行業） 、財務顧問 (投資) 、保險（商業與財務） 、熱門話題、股票（投資） 、投資策略（投資） 、婚紗攝影（攝影） 、財務會計（商業與財務） 、婚禮（社會觀念） 、婚戒（婚禮） 、社群媒體（網路媒體） 或網路購物網站 (網站)",名單,可
